Name,Code
Reliance Industries Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNREkwTW1NMkVnVmxiaTFIUWlnQVAB
Tata Consultancy Services Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNREZ3YzNnNEVnVmxiaTFIUWlnQVAB
HDFC Bank Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNREkxZEhwbmF4SUZaVzR0UjBJb0FBUAE
Infosys Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNREZyT0hnMkVnVmxiaTFIUWlnQVAB
Hindustan Unilever Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNREkwTW1aakVnVmxiaTFIUWlnQVAB
Housing Development Finance Corp Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRFJuT0hweUVnVmxiaTFIUWlnQVAB
ICICI Bank Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRE5vTm5FMkVnVmxiaTFIUWlnQVAB
State Bank Of India,CAAqJggKIiBDQkFTRWdvSkwyMHZNREkwTW10aUVnVmxiaTFIUWlnQVAB
Bajaj Finance Limited,CAAqKQgKIiNDQkFTRkFvTEwyMHZNREV5TjNnMU0yZ1NCV1Z1TFVkQ0tBQVAB
Kotak Mahindra Bank Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRGxxY25jeEVnVmxiaTFIUWlnQVAB
Wipro Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNREkwTVY5c0VnVmxiaTFIUWlnQVAB
Bharti Airtel Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNR3R4YURWekVnVmxiaTFIUWlnQVAB
Asian Paints Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZqYzNFd2JUZ3diaElGWlc0dFIwSW9BQVAB
ITC Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRFkwYzJKekVnVmxiaTFIUWlnQVAB
HCL Technologies Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRFk1T0dkMkVnVmxiaTFIUWlnQVAB
Axis Bank Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNREozWTJoM2VCSUZaVzR0UjBJb0FBUAE
Maruti Suzuki India Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRFF5WjJkckVnVmxiaTFIUWlnQVAB
Larsen & Toubro Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNRGR4TkhGdEVnVmxiaTFIUWlnQVAB
Avenue Supermarts Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR2h5TjJkd2F4SUZaVzR0UjBJb0FBUAE
Adani Green Energy Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZtTm1ONWR6aHFNeElGWlc0dFIwSW9BQVAB
Bajaj Finserv Ltd,CAAqKQgKIiNDQkFTRkFvTEwyMHZNREV5TjNnMU0yZ1NCV1Z1TFVkQ0tBQVAB
Ultratech Cement Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR05vTVdOd1l4SUZaVzR0UjBJb0FBUAE
Adani Enterprises Ltd,CAAqJggKIiBDQkFTRWdvSkwyMHZNR1EwYTNsa0VnVmxiaTFIUWlnQVAB
Adani Total Gas Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZqTnpObmVXdDNjeElGWlc0dFIwSW9BQVAB
Adani Transmission Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZpWXpack9XYzRaQklGWlc0dFIwSW9BQVAB
JSW Steel Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNR050WkdodGNCSUZaVzR0UjBJb0FBUAE
Adani Ports And Special Economic Zone Ltd,CAAqKggKIiRDQkFTRlFvTUwyY3ZNVEYyYWpBMWJHNXdFZ1ZsYmkxSFFpZ0FQAQ
Nestle India Ltd,CAAqLAgKIiZDQkFTRmdvTkwyY3ZNVEZrZURsbWFtZG5jeElGWlc0dFIwSW9BQVAB
Sun Pharmaceutical Industries Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRFEzWXpKZmVoSUZaVzR0UjBJb0FBUAE
Oil And Natural Gas Corporation Ltd,CAAqKAgKIiJDQkFTRXdvS0wyMHZNREkyY0hKelloSUZaVzR0UjBJb0FBUAE
Titan Company Limited,CAAqJggKIiBDQkFTRWdvSkwyMHZNRFkwYlRjMkVnVmxiaTFIUWlnQVAB
